season,model week,location,target,type,entry,score,competition_week
2018/2019,MW50,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-0.006219299813915939,9
2018/2019,MW51,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-0.11096568983171172,10
2018/2019,MW52,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-0.0410143350373426,11
2018/2019,MW53,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-0.012831752223118387,12
2018/2019,MW54,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-0.010803906480517227,13
2018/2019,MW55,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-0.010473620971071802,14
2018/2019,MW56,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-0.009942690804376125,15
2018/2019,MW57,HHS Region 5,Season onset,Bin,Delphi-Epicast2,-0.009942690804376125,16
2018/2019,MW42,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-1.0869465635535882,1
2018/2019,MW43,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-1.0702636843194555,2
2018/2019,MW44,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-1.0914411899366114,3
2018/2019,MW45,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-1.0581993164482901,4
2018/2019,MW46,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-1.0921220603651671,5
2018/2019,MW47,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-1.420424298253072,6
2018/2019,MW48,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-0.4068332895554387,7
2018/2019,MW49,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-0.49691952673953305,8
2018/2019,MW50,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-0.06445333564244805,9
2018/2019,MW51,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-0.041292322578449815,10
2018/2019,MW52,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-0.01035941184468344,11
2018/2019,MW53,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-0.009296141935752294,12
2018/2019,MW54,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-0.008651806155851816,13
2018/2019,MW55,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-0.008544351294770453,14
2018/2019,MW56,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-0.009622281132917222,15
2018/2019,MW57,HHS Region 6,Season onset,Bin,Delphi-Epicast2,-0.009622281132917222,16
2018/2019,MW42,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-2.882251078318109,1
2018/2019,MW43,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-1.287184441151225,2
2018/2019,MW44,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-4.942032439152118,3
2018/2019,MW45,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-6.852874814100984,4
2018/2019,MW46,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-1.0417350468077011,5
2018/2019,MW47,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-1.9465394608230568,6
2018/2019,MW48,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-1.2733321590287952,7
2018/2019,MW49,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-0.3265063632016706,8
2018/2019,MW50,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-0.3510810034837214,9
2018/2019,MW51,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-0.3267967200713884,10
2018/2019,MW52,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-0.3177108648129791,11
2018/2019,MW53,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-0.014513336532176608,12
2018/2019,MW54,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-0.01315774950223209,13
2018/2019,MW55,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-0.012704036459029826,14
2018/2019,MW56,HHS Region 7,Season onset,Bin,Delphi-Epicast2,-0.0062345684514942675,15
2018/2019,MW42,HHS Region 8,Season onset,Bin,Delphi-Epicast2,-1.8646949691685635,1
2018/2019,MW43,HHS Region 8,Season onset,Bin,Delphi-Epicast2,-1.5759795608040021,2
2018/2019,MW44,HHS Region 8,Season onset,Bin,Delphi-Epicast2,-0.8537379282945898,3
2018/2019,MW45,HHS Region 8,Season onset,Bin,Delphi-Epicast2,-0.7900290626802503,4
2018/2019,MW46,HHS Region 8,Season onset,Bin,Delphi-Epicast2,-0.46098807046786927,5
2018/2019,MW47,HHS Region 8,Season onset,Bin,Delphi-Epicast2,-0.22460804259255004,6
2018/2019,MW48,HHS Region 8,Season onset,Bin,Delphi-Epicast2,-0.03155716119436205,7
2018/2019,MW49,HHS Region 8,Season onset,Bin,Delphi-Epicast2,-0.037361459699710185,8
2018/2019,MW50,HHS Region 8,Season onset,Bin,Delphi-Epicast2,-0.03335410742458824,9
2018/2019,MW51,HHS Region 8,Season onset,Bin,Delphi-Epicast2,-0.027106113785149284,10
2018/2019,MW52,HHS Region 8,Season onset,Bin,Delphi-Epicast2,-0.02289325249534577,11
2018/2019,MW42,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-0.5786294898048977,1
2018/2019,MW43,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-0.38785701531973665,2
2018/2019,MW44,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-0.5500391493963123,3
2018/2019,MW45,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-0.5412557164588562,4
2018/2019,MW46,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-1.3134334213378878,5
2018/2019,MW47,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-0.42050127446370283,6
2018/2019,MW48,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-0.08225913978131699,7
2018/2019,MW49,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-1.3112930876700137,8
2018/2019,MW50,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-0.4380882605282663,9
2018/2019,MW51,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-0.47706917169705143,10
2018/2019,MW52,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-0.43093899015730414,11
2018/2019,MW53,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-0.4217568432053486,12
2018/2019,MW54,HHS Region 9,Season onset,Bin,Delphi-Epicast2,-0.3770881840080836,13
2018/2019,MW42,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-1.526685081690533,1
2018/2019,MW43,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-1.1028792526156073,2
2018/2019,MW44,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-1.5811498017175412,3
2018/2019,MW45,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-1.738966336526041,4
2018/2019,MW46,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-2.0720388759472446,5
2018/2019,MW47,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-1.1046289293817033,6
2018/2019,MW48,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-0.13518829154365705,7
2018/2019,MW49,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-0.25324197100757506,8
2018/2019,MW50,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-0.30046314400097857,9
2018/2019,MW51,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-1.0688639797442623,10
2018/2019,MW52,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-0.40867192895935506,11
2018/2019,MW53,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-0.3629844502938634,12
2018/2019,MW54,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-0.3666228741583617,13
2018/2019,MW55,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-0.35788025047681216,14
2018/2019,MW56,HHS Region 10,Season onset,Bin,Delphi-Epicast2,-0.3404263529571666,15
2018/2019,MW42,US National,Season peak week,Bin,Delphi-Epicast2,-1.7366016539450266,1
2018/2019,MW43,US National,Season peak week,Bin,Delphi-Epicast2,-1.4577091699721527,2
2018/2019,MW44,US National,Season peak week,Bin,Delphi-Epicast2,-1.4495104257112457,3
2018/2019,MW45,US National,Season peak week,Bin,Delphi-Epicast2,-1.4363645902201558,4
2018/2019,MW46,US National,Season peak week,Bin,Delphi-Epicast2,-1.4356868704648431,5
2018/2019,MW47,US National,Season peak week,Bin,Delphi-Epicast2,-1.1553108867001347,6
2018/2019,MW48,US National,Season peak week,Bin,Delphi-Epicast2,-1.8250674951762755,7
2018/2019,MW49,US National,Season peak week,Bin,Delphi-Epicast2,-1.102736418964283,8
2018/2019,MW50,US National,Season peak week,Bin,Delphi-Epicast2,-1.0760373754578902,9
2018/2019,MW51,US National,Season peak week,Bin,Delphi-Epicast2,-1.094571590559305,10
2018/2019,MW52,US National,Season peak week,Bin,Delphi-Epicast2,-2.1626893782988956,11
2018/2019,MW53,US National,Season peak week,Bin,Delphi-Epicast2,-1.4454894078196894,12
2018/2019,MW54,US National,Season peak week,Bin,Delphi-Epicast2,-3.3942127791927694,13
2018/2019,MW55,US National,Season peak week,Bin,Delphi-Epicast2,-3.0665147028504562,14
2018/2019,MW56,US National,Season peak week,Bin,Delphi-Epicast2,-0.9273063080630035,15
2018/2019,MW57,US National,Season peak week,Bin,Delphi-Epicast2,-0.9273063080630035,16
2018/2019,MW58,US National,Season peak week,Bin,Delphi-Epicast2,-0.22569606972276024,17
2018/2019,MW59,US National,Season peak week,Bin,Delphi-Epicast2,-0.007806763069683849,18
2018/2019,MW60,US National,Season peak week,Bin,Delphi-Epicast2,-0.010568385545163927,19
2018/2019,MW61,US National,Season peak week,Bin,Delphi-Epicast2,-0.006848720775585072,20
2018/2019,MW62,US National,Season peak week,Bin,Delphi-Epicast2,-0.006220694180297857,21
2018/2019,MW63,US National,Season peak week,Bin,Delphi-Epicast2,-0.006201008870164891,22
2018/2019,MW64,US National,Season peak week,Bin,Delphi-Epicast2,-0.00620100475314446,23
2018/2019,MW65,US National,Season peak week,Bin,Delphi-Epicast2,-0.006201004732558568,24
