season,model week,location,target,type,entry,score,competition_week
2018/2019,MW57,US National,Season peak week,Bin,Delphi-Stat,-0.5668579049580851,16
2018/2019,MW58,US National,Season peak week,Bin,Delphi-Stat,-0.09381478387094995,17
2018/2019,MW59,US National,Season peak week,Bin,Delphi-Stat,-0.17084417146453504,18
2018/2019,MW60,US National,Season peak week,Bin,Delphi-Stat,-0.18388782732474213,19
2018/2019,MW61,US National,Season peak week,Bin,Delphi-Stat,-0.028324983645654413,20
2018/2019,MW62,US National,Season peak week,Bin,Delphi-Stat,-0.026499756617134797,21
2018/2019,MW63,US National,Season peak week,Bin,Delphi-Stat,-0.02846326901534396,22
2018/2019,MW64,US National,Season peak week,Bin,Delphi-Stat,-0.023499140545945162,23
2018/2019,MW65,US National,Season peak week,Bin,Delphi-Stat,-0.020589182922468804,24
2018/2019,MW66,US National,Season peak week,Bin,Delphi-Stat,-0.02049629208507314,25
2018/2019,MW67,US National,Season peak week,Bin,Delphi-Stat,-0.02047125467290648,26
2018/2019,MW68,US National,Season peak week,Bin,Delphi-Stat,-0.020725733581109573,27
2018/2019,MW42,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.169227731268002,1
2018/2019,MW43,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.187319379077088,2
2018/2019,MW44,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.2734007457918133,3
2018/2019,MW45,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.1315764023632369,4
2018/2019,MW46,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.2467622737487927,5
2018/2019,MW47,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.11508392577151,6
2018/2019,MW48,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.1532511007340953,7
2018/2019,MW49,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.6159291469174184,8
2018/2019,MW50,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.1384651205336884,9
2018/2019,MW51,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.2547329577200896,10
2018/2019,MW52,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.306585526968852,11
2018/2019,MW53,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.3267187022583389,12
2018/2019,MW54,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.2372869156909445,13
2018/2019,MW55,HHS Region 1,Season peak week,Bin,Delphi-Stat,-1.1884692341352883,14
2018/2019,MW56,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.8117177861351298,15
2018/2019,MW57,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.3945042764360008,16
2018/2019,MW58,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.8705668325874442,17
2018/2019,MW59,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.3384819617283947,18
2018/2019,MW60,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.42309648158021296,19
2018/2019,MW61,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.15949774518082852,20
2018/2019,MW62,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.09240158687616036,21
2018/2019,MW63,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.12044818659734317,22
2018/2019,MW64,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.10129219988634924,23
2018/2019,MW65,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.10565816042018666,24
2018/2019,MW66,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.08568141901867886,25
2018/2019,MW67,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.05384486116868143,26
2018/2019,MW68,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.04819649122094499,27
2018/2019,MW69,HHS Region 1,Season peak week,Bin,Delphi-Stat,-0.06159526425910635,28
2018/2019,MW42,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.5821239602429393,1
2018/2019,MW43,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.52069673185428,2
2018/2019,MW44,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.563175638155184,3
2018/2019,MW45,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.524833683218441,4
2018/2019,MW46,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.5704567269222551,5
2018/2019,MW47,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.5380410501600956,6
2018/2019,MW48,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.594182332487889,7
2018/2019,MW49,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.560603513209658,8
2018/2019,MW50,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.5958568925682473,9
2018/2019,MW51,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.6246897722211442,10
2018/2019,MW52,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.602474317587716,11
2018/2019,MW53,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.3051684188587378,12
2018/2019,MW54,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.5978714269478855,13
2018/2019,MW55,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.4404966023671695,14
2018/2019,MW56,HHS Region 2,Season peak week,Bin,Delphi-Stat,-1.3616482254488311,15
2018/2019,MW57,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.8603224375448224,16
2018/2019,MW58,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.37457401458652845,17
2018/2019,MW59,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.3726717734731811,18
2018/2019,MW60,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.373123707806297,19
2018/2019,MW61,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.1940495538352244,20
2018/2019,MW62,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.1594284950283808,21
2018/2019,MW63,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.12456095238861387,22
2018/2019,MW64,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.17316442247156785,23
2018/2019,MW65,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.1390768222789749,24
2018/2019,MW66,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.12149788558407001,25
2018/2019,MW67,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.06156822491769168,26
2018/2019,MW68,HHS Region 2,Season peak week,Bin,Delphi-Stat,-0.06874748759663526,27
2018/2019,MW42,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.7485343869693402,1
2018/2019,MW43,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.667706254327686,2
2018/2019,MW44,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.6399502745784382,3
2018/2019,MW45,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.628472691966984,4
2018/2019,MW46,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.6212243861917095,5
2018/2019,MW47,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.6458720086356853,6
2018/2019,MW48,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.5255411615310035,7
2018/2019,MW49,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.4601539452155827,8
2018/2019,MW50,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.4766009994773646,9
2018/2019,MW51,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.6175930093799293,10
2018/2019,MW52,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.489791108308448,11
2018/2019,MW53,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.4362886257170915,12
2018/2019,MW54,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.4639487537657911,13
2018/2019,MW55,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.2677761610323124,14
2018/2019,MW56,HHS Region 3,Season peak week,Bin,Delphi-Stat,-1.222863281004392,15
2018/2019,MW57,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.9429561099100604,16
2018/2019,MW58,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.9197651077510368,17
2018/2019,MW59,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.3093913721859793,18
2018/2019,MW60,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.26380387003105316,19
2018/2019,MW61,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.23026285873007576,20
2018/2019,MW62,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.12236835439343134,21
2018/2019,MW63,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.15843267524047933,22
2018/2019,MW64,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.042224916530335214,23
2018/2019,MW65,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.027814418626645406,24
2018/2019,MW66,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.023638266100960224,25
2018/2019,MW67,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.020672686118193902,26
2018/2019,MW68,HHS Region 3,Season peak week,Bin,Delphi-Stat,-0.020724204623623198,27
2018/2019,MW42,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.283333337767821,1
2018/2019,MW43,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.315029456872565,2
2018/2019,MW44,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.3327981604382486,3
2018/2019,MW45,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.3432833649457945,4
2018/2019,MW46,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.3389258085658575,5
2018/2019,MW47,HHS Region 4,Season peak week,Bin,Delphi-Stat,-1.3485095426673699,6
